string,center,score
eiarndm,e,2118
eartdcm,e,2118
eartdcb,e,2117
iarntog,n,2117
eartdcp,a,2114
eiantlg,a,2112
eiarldm,e,2109
erntodp,e,2107
eartlcp,a,2107
eartldh,e,2106
eiartld,i,2105
eiartod,e,2104
eirntgm,e,2104
eiantld,e,2103
eiartdh,r,2096
eiartlg,e,2094
eiarndp,e,2094
eirntog,r,2094
earldcp,e,2092
eartdpb,e,2089
eirntog,n,2089
earntdu,r,2087
eartloc,e,2085
earntgm,e,2083
eartldb,r,2083
eartodb,r,2083
eirntop,e,2082
earntdu,t,2081
eartodp,t,2075
earntlg,a,2071
earnldg,a,2069
earldgb,a,2068
eiarnto,n,2068
eiarntp,n,2066
eartlmp,e,2061
eiantlg,l,2061
eartodm,r,2060
earntop,e,2058
eiartdc,i,2058
earntod,t,2057
eiartdp,t,2053
eirndgb,e,2052
eiardcp,e,2052
eiarntb,r,2052
eiartch,r,2048
earntlp,t,2048
eirtodp,e,2046
eirntgp,e,2045
earndgp,e,2043
eartdcg,e,2042
eiartdm,a,2040
earntop,t,2039
earntdm,r,2038
eiarldb,r,2038
eirntoc,n,2038
eiarngm,r,2035
eartlpb,e,2034
earlodb,e,2030
earntmp,e,2027
eiarntp,i,2027
earntop,r,2026
eiartch,e,2024
eartlcb,e,2022
eiartlm,t,2018
eirntog,e,2016
eartloc,r,2016
earldmb,e,2014
eartdup,r,2014
eartdcu,e,2011
eiantlg,g,2011
eiarngp,r,2009
eirndgm,e,2008
eirntod,r,2008
eartlcb,a,2005
eartldg,r,2005
eiartlb,t,2005
eiarntu,t,2005
eiarldb,d,2003
eiarngm,g,2003
eartldm,a,2002
eirndgu,e,1999
eartdmb,e,1999
eirntlg,n,1999
eiarldp,d,1998
eirntdb,e,1997
eiarntb,t,1996
eartodp,a,1995
eiartdm,t,1994
eiarngp,n,1994
eartlgb,e,1993
earnodg,e,1989
erntodu,e,1989
earntdb,a,1989
eirndgb,i,1989
eartocp,r,1989
eirtodc,e,1987
eirtlod,e,1984
eiarntc,c,1982
earntdb,r,1981
eirndgp,i,1980
eartlod,r,1979
eirntdc,r,1979
eiantlg,e,1977
eiantdm,e,1977
earntld,r,1977
eartdgb,r,1976
eartdgh,e,1974
eiartlm,a,1972
eartdgm,r,1972
eiarngp,e,1971
earntlb,e,1970
earntch,e,1969
earntom,t,1969
iarntog,i,1968
earndgm,a,1966
eiarndc,e,1964
earntcp,a,1964
eiarnth,t,1964
earntgp,e,1962
earntom,e,1961
eartdgp,a,1961
eartldu,e,1958
eartlop,r,1958
eiardcp,r,1958
eiarnth,e,1956
eartdph,r,1955
eiartld,l,1955
eartdcb,r,1954
eiantlg,t,1954
earntgm,a,1949
earntlm,e,1948
eiarldp,a,1945
eartdbh,e,1944
eirntog,i,1944
eirntgp,i,1943
eirntgm,i,1943
eartdcm,r,1942
eiarngm,n,1940
eiartch,t,1938
eiarntu,e,1935
ertlodp,e,1934
earntlp,r,1934
eiarngm,e,1933
earnldc,e,1932
eirntdp,r,1932
eartloc,t,1932
eirntgm,r,1931
earndgu,e,1930
eirtldp,e,1930
eartlpb,a,1930
eirntod,t,1929
earndgm,r,1926
earntdp,d,1926
eartdch,t,1924
eartloc,a,1923
eirnodg,n,1923
earntld,t,1921
eartdgu,e,1920
eiardgm,e,1912
eirntdm,r,1912
eartlch,e,1911
earntoc,a,1911
eiartdb,a,1911
eiarngp,i,1910
eiartcm,e,1909
eartdph,a,1909
eartlgp,e,1908
eirnodg,r,1907
eirntdg,d,1907
eartlgb,a,1905
earntom,r,1905
eartdcg,r,1904
eiartop,r,1904
eartlmp,a,1902
earntog,r,1902
earntdg,d,1902
eiartdc,c,1902
eartdcb,a,1899
eiartdp,d,1899
eiartcm,r,1898
eiarntu,r,1897
eiardmp,e,1895
earnldb,e,1895
eirntop,r,1895
earntcp,r,1895
eiarngp,g,1895
eiartcp,a,1894
earldmp,e,1893
eartlch,a,1893
eartdpb,r,1893
eirnldg,g,1893
eirnldg,d,1892
eartdmh,e,1891
earndgb,e,1891
eartldp,t,1891
eirnldg,r,1890
eartodc,t,1889
eartodp,d,1886
eiartlg,r,1885
earntlc,t,1885
eiarldg,r,1883
iantloc,a,1882
eiarngm,a,1881
earlodc,e,1878
eirtdmp,e,1877
earntlb,a,1877
earntmp,a,1872
eirntom,e,1871
eirntdc,t,1870
eiarntl,l,1870
earntog,e,1867
eiarldb,a,1867
eirntdc,i,1866
eartdcm,a,1866
earntdu,n,1866
earntdg,t,1866
eirnodg,i,1865
eirnodg,g,1864
eiarldb,l,1863
earldup,e,1861
eirtldm,e,1861
eartlmb,e,1860
eirntdm,i,1860
eirntdp,i,1858
earntdu,d,1858
earldpb,a,1856
eirntlg,r,1856
eirntgu,n,1855
earntcm,e,1854
eirtdcp,e,1854
eirntop,t,1854
eiartlb,l,1854
eirntcp,e,1852
earntlc,r,1852
eartocp,e,1850
earldgm,e,1850
eirtldb,e,1850
eartlcp,r,1850
earntch,t,1850
eiarnto,a,1849
earntlm,a,1848
eirntoc,i,1847
earntch,a,1845
earntdh,r,1845
eiardgb,e,1843
eiardgp,e,1841
earldcb,e,1839
eirntoc,o,1839
eartldm,r,1838
iantlog,n,1838
eantldp,e,1837
eirnodg,d,1837
eartomp,r,1836
eartdgb,a,1835
eiarnth,r,1834
eiartdm,d,1834
earnodc,e,1833
eirntgp,r,1833
earntdc,d,1832
earntdu,a,1831
earntcp,t,1831
earldcp,a,1830
earntmp,r,1830
eirntgu,r,1830
eirntdg,g,1830
eartldh,a,1828
eiartcp,t,1828
earnodp,e,1827
eirlodp,e,1827
eiarngm,i,1826
eartdgm,a,1826
earndmp,e,1824
eirntdh,e,1824
earntdh,a,1824
earntlg,r,1823
eiartlo,r,1823
earnodg,r,1822
earldub,e,1821
eartdpb,a,1820
eiarndm,d,1818
eiartgm,e,1814
eirntog,t,1814
earntcg,e,1813
eartlup,e,1812
earnldm,e,1812
earntod,a,1812
iarntog,a,1812
eiarldg,d,1812
erntodm,e,1811
eirntdu,r,1811
eartdgh,r,1811
eiarnld,d,1811
eartdgu,r,1810
earnldg,r,1804
eirndgu,n,1802
earntgm,r,1801
eiartlo,t,1801
eirntgu,e,1800
eartlob,e,1800
eartodc,a,1800
eartldc,t,1800
earntod,d,1800
eirtodc,r,1798
eartlop,t,1797
iarntog,t,1797
eirntdu,n,1796
eiartdb,t,1796
eirntdm,t,1795
eartldp,d,1795
eirntmp,e,1794
eirndgp,r,1794
eirndgu,r,1794
earldgu,e,1793
eartldp,p,1793
eartdum,e,1791
eirntlg,t,1791
eartodp,p,1791
eartlgp,a,1788
eiartch,a,1788
eirnldg,n,1788
eiarndp,r,1788
eiarnlg,l,1788
eartdub,e,1787
eirtldc,e,1787
iantloc,n,1787
earntlo,t,1787
eartdcu,r,1786
earnldp,a,1785
eirntgp,n,1785
eiartdb,d,1785
eiarndb,e,1784
eiantlm,a,1783
earntdg,n,1783
earldgp,a,1782
eirndgb,r,1782
eiardmp,r,1779
eiartlp,l,1779
earnodm,e,1778
earntcm,a,1778
eartocp,t,1778
eiarngb,r,1778
eirntld,i,1777
iarntoc,t,1777
eirntdg,t,1776
eartodh,e,1775
erntodc,r,1775
eiartdg,a,1775
eiartlg,a,1775
iantloc,i,1774
eiarldc,r,1773
eirtodp,r,1772
earntoc,n,1769
eiarndc,r,1769
eiartcb,r,1768
eartcph,e,1767
eirtodm,e,1767
eiartdu,e,1766
eirlodb,e,1766
eiantdm,n,1764
eiarngb,g,1764
earlodg,e,1763
eiartlo,e,1761
eiartlc,i,1761
earldmb,a,1761
earndcg,e,1760
earntup,e,1758
earntgp,r,1757
eiantgm,n,1757
earntdm,t,1756
eiartlc,l,1756
eiantlc,a,1755
eartomp,e,1754
eiarnto,i,1754
eartlop,a,1754
eirntom,t,1754
eiarntm,m,1754
earntmp,t,1753
eiartop,e,1752
eiardcm,e,1748
earntgp,a,1748
earntch,r,1748
eiarldp,l,1748
eartlub,e,1747
ertodcp,e,1747
eartlcb,r,1747
earntdc,n,1747
eiarntb,a,1744
eirnodp,e,1742
eirndgu,i,1742
eiarntp,p,1742
eirndgu,d,1741
eartodc,d,1741
eirntld,r,1740
eiartgm,r,1740
eiartoc,r,1740
eartlph,e,1739
eartlod,t,1739
earntlo,e,1738
eiartmp,t,1738
eiartod,t,1738
eiarndc,d,1738
eiartlp,p,1738
eirndgm,r,1737
eirntod,n,1737
eirntgm,n,1737
eirntoc,c,1737
eiantdc,e,1735
eirntlo,e,1735
earndcp,e,1735
iarntoc,a,1734
eartlmb,a,1732
eirndgm,i,1731
eiarngb,n,1731
eirndcg,e,1730
iantlog,i,1729
eiartlh,e,1729
eartodu,r,1729
eirntdu,t,1729
eiartop,t,1729
earnldc,a,1728
eiarldc,d,1728
eiarldc,a,1727
eartlcm,e,1726
eiardmb,e,1726
eirntgh,e,1723
eianldg,n,1723
eiartdg,d,1723
earndgu,r,1722
earndmb,e,1721
earntlm,t,1720
erntodu,r,1718
eartoch,r,1717
eartodh,r,1717
eiartlm,i,1716
eiantdg,n,1715
eartodu,e,1714
ertlodc,e,1713
erntlod,e,1713
eartldb,t,1713
earndum,e,1712
ertodup,e,1712
eirndgp,n,1712
earndgm,d,1712
earntgb,e,1711
eartdcg,a,1711
earntcm,r,1711
eartdup,a,1710
eartldb,d,1709
earntdm,d,1709
earntcu,e,1707
eartdmb,r,1707
eianldg,l,1707
earntgu,e,1706
earntoc,c,1706
iantocg,n,1705
earldgb,r,1704
eartlgm,e,1703
earlodp,r,1703
eiardgp,r,1703
earndgp,r,1702
eirntdp,t,1702
earntcg,r,1701
earntlu,e,1700
eiartdm,i,1699
eirntod,d,1699
eartldh,r,1698
earntdp,n,1698
eiarncg,r,1698
earlodb,d,1698
eiartlp,i,1695
earntog,t,1695
earnldg,d,1695
eiartmb,e,1694
eirtldg,e,1694
eartogp,r,1693
eiantlm,e,1692
eirntcg,e,1692
eartdgh,a,1692
iantloc,c,1691
eiarndm,a,1690
eiantdm,a,1690
eartlob,r,1690
earntdb,t,1690
eiantld,a,1689
eiardgm,r,1689
eiarldp,p,1689
eartdmb,a,1688
eiardgb,r,1687
eirntom,r,1686
eiatldp,e,1685
eartdbh,a,1685
eiartdu,r,1685
eirntlg,g,1685
eirntdc,d,1684
eirntlp,e,1683
eartocm,r,1683
earldcg,e,1682
erntodc,o,1682
earlodb,r,1681
eartdbh,r,1681
eartcph,a,1680
eartlch,t,1680
iarntog,g,1680
eartodb,a,1679
iarntog,r,1679
eartlcu,e,1677
eirntlm,e,1677
earntcg,a,1677
earldcb,a,1677
eartlcp,t,1677
eiarnog,g,1677
eiartgp,e,1676
eiartom,r,1676
eirntgh,i,1675
eartlod,a,1674
earntom,a,1673
eiantlp,a,1673
eiarldb,b,1673
earntph,e,1672
eiantld,n,1672
earodcp,e,1671
eirntgu,i,1671
earntlg,t,1671
erntdup,e,1670
eartlob,a,1670
earndgp,a,1670
eiarldm,a,1670
eartdum,r,1669
eiarlod,e,1668
earntdh,t,1668
eianldm,e,1667
eiartgp,r,1667
eartlbh,e,1666
eartlph,a,1666
eartdmp,t,1666
eianldg,e,1665
eartlog,e,1665
eiarldb,i,1664
eiardcb,e,1663
eianldg,i,1663
iantloc,t,1663
eiartdp,p,1663
eardgmp,e,1662
eiartlb,i,1662
iantloc,o,1662
eirnldb,e,1661
eartlcm,a,1661
eartdcp,t,1661
eartlom,e,1660
eiarndm,r,1659
eiartlg,t,1659
eiartcb,e,1658
ertodmp,e,1658
eiarldm,r,1658
eiarldm,d,1658
eartlmp,r,1657
eirndgu,g,1657
eartodg,a,1656
earldmp,a,1656
eartoch,t,1656
eiarnog,n,1656
eiantdp,e,1655
iarntoc,n,1655
erntodp,r,1654
eiartdh,a,1654
eardgmb,e,1653
earntod,n,1653
eiartlh,r,1653
eiartlh,t,1653
earnodm,d,1652
eiartod,d,1651
eiarngp,a,1649
eartdmh,r,1649
earnodg,d,1649
eirldgb,e,1646
eiarntu,n,1646
earntlb,t,1646
eiantlm,n,1645
erntodg,e,1643
eiartmb,r,1641
eartodm,a,1640
earnldb,a,1640
earndgb,r,1640
eirntcg,r,1640
eirntdu,d,1640
earntog,a,1639
eirnodc,e,1638
eirndgh,e,1637
ernodcu,e,1637
earntdp,p,1637
earntcu,t,1636
eirntgb,e,1635
earntop,a,1635
erntocu,r,1635
eiardpb,e,1634
eiartdg,t,1634
earlodp,d,1634
earndcm,e,1633
eirntcp,r,1633
eiartdp,i,1632
eiarndc,a,1631
eirndgb,n,1631
eirntgm,t,1631
eartlod,d,1631
earlodm,e,1630
eartlup,a,1630
earndgb,a,1630
eantldp,a,1630
eartcph,r,1630
eartlcg,e,1629
earntcb,e,1628
eirntdp,n,1628
eartdmh,a,1627
eiartdh,t,1627
earldcm,e,1626
eiantgm,a,1626
earnldm,a,1625
eartoch,e,1624
earlodc,r,1624
eiantlp,e,1623
eiartph,e,1623
earndgh,e,1622
eirtdcm,e,1622
eirntld,t,1622
eirodcp,e,1621
earntcu,r,1621
earntup,r,1620
eiartcm,t,1619
earnldu,e,1618
eirlodc,e,1618
eartldu,r,1618
eiarnld,r,1618
eirntod,i,1616
eiarldg,a,1616
earnodc,d,1616
eirntlc,e,1615
eiarnld,a,1615
erntocu,e,1614
earntlu,t,1614
eiartoc,t,1614
earnlod,e,1612
eirntcg,i,1612
earldcp,r,1612
eartldp,l,1612
eirntog,g,1611
eiatldb,e,1610
eartlpb,r,1610
earntlo,r,1610
eintodc,e,1609
eantldm,e,1609
eirntop,n,1609
eiarngb,e,1608
eartlgb,r,1608
eiartlc,c,1607
eiarldp,i,1606
eartocp,a,1606
eiarngb,i,1605
eiartph,r,1604
eartldb,l,1604
eiarlcp,e,1603
eartomp,t,1603
eiarndb,r,1602
earntld,d,1602
eirtlop,e,1601
eartodm,t,1601
earntcm,t,1600
eiartmp,a,1599
eianlgm,n,1599
iantocg,i,1598
eirndgb,d,1598
eirntdp,d,1597
eartogp,e,1596
eiartpb,e,1596
earntgu,r,1596
eirntdc,n,1596
eiardcb,r,1596
ertodup,r,1595
eiarncg,n,1595
eardgum,e,1594
eirlodg,e,1594
eianlgm,i,1594
earodgm,e,1593
eiartpb,r,1593
eartlgm,a,1592
eartogm,r,1592
earnldg,g,1592
eiartcp,i,1590
eartlch,r,1590
eartldc,d,1590
eiarndp,d,1590
eartoph,r,1589
eartlbh,a,1588
eartloc,c,1588
earntlh,e,1587
earntdg,g,1587
earldph,e,1586
earntlb,r,1586
eirntup,e,1585
eianldm,a,1585
eantldu,e,1583
eirntum,e,1583
eartlmp,t,1583
eartocm,e,1582
eiarnog,r,1582
earntgm,t,1582
eiartlm,l,1582
eantldc,e,1580
earntgb,r,1580
erntodh,e,1579
earnodb,e,1578
earntmb,e,1578
earldbh,e,1578
eiartcm,a,1578
eirntgu,t,1578
eiantdc,n,1577
eartldg,d,1577
ernodcp,e,1576
eirndcg,i,1576
eirtlod,r,1576
eartdup,t,1576
eartlob,t,1576
eirtodb,e,1575
earntcb,a,1575
eiarldh,e,1574
eianlgm,a,1574
eiantld,t,1574
eirntgb,i,1573
ianlocg,n,1573
eiantlc,e,1572
earodmb,e,1572
iantlcg,i,1572
earnodc,r,1572
eartdch,d,1572
earodgp,e,1571
ernlodp,e,1571
earldgp,r,1571
earntpb,e,1569
earntup,t,1569
eiartch,c,1569
earlodb,a,1568
eartlop,p,1567
iarntlg,i,1566
eantodc,e,1566
eiardch,e,1566
eirndgb,g,1566
earldgm,a,1565
eartlog,r,1565
earnodm,r,1564
eianldg,g,1564
eirntgh,n,1563
eartodg,d,1563
eartcmh,e,1562
earodgb,e,1561
earntdm,n,1561
eartlcb,t,1561
eiarlod,d,1561
eiartom,e,1559
earntum,e,1559
erlodcp,e,1559
eartoup,r,1559
eirtodc,d,1559
eianldg,a,1558
iarntlg,n,1558
eiantoc,n,1558
eartcmp,e,1557
eirndgp,g,1557
eartodb,d,1557
eiarodp,e,1556
earldgb,d,1556
earnodp,r,1554
earntou,t,1554
eiarndb,d,1554
earndcg,r,1553
eirntcg,n,1553
eiartmh,e,1552
eirntlo,t,1552
ertodcu,e,1551
earodcp,r,1551
eiardpb,r,1550
eartlcg,a,1549
eiantlc,t,1549
earodmp,e,1548
eartodg,t,1548
eartdub,r,1547
eirnogp,n,1547
eiantdc,t,1547
earntgb,a,1546
eiarodp,r,1546
earnldp,d,1546
eartldm,t,1545
eiardcg,e,1544
eartldu,a,1544
eartlom,r,1544
earntcb,r,1544
eartlub,a,1543
earldpb,r,1543
eartlcu,r,1543
eirtdmp,r,1543
iarntoc,o,1543
earntlu,a,1542
eintldg,i,1542
eiantdm,t,1542
eartogm,e,1541
eartldb,b,1541
eartopb,r,1540
eartdcu,a,1539
eirnogp,i,1539
eirtdcp,r,1539
earntob,r,1539
eirntdm,n,1539
eiartlb,b,1539
eartlgp,r,1538
eirntdm,d,1537
eartlgu,e,1536
eirntdb,r,1535
earntoc,o,1535
earntdb,d,1535
eirntop,i,1534
earndgu,d,1534
eiantld,d,1534
eiardcm,r,1532
eirndgm,d,1532
eiantlm,i,1531
eiartcb,a,1531
eartodc,c,1531
eartgmp,e,1530
eartcmp,r,1529
eiarldg,l,1529
eartloc,l,1528
ertlodp,o,1528
earntob,t,1528
eiarnlp,e,1527
earntlo,a,1527
earntlm,r,1526
eirndgm,g,1526
eirtomp,e,1525
erntocu,t,1525
eiartcg,r,1525
ertodcp,r,1524
eiantdg,e,1523
earodcm,e,1522
earntgh,e,1522
eiantlc,n,1522
eartlom,t,1522
eartdmp,d,1522
eiantlc,l,1522
earlodc,d,1522
eirntmp,r,1521
eirtodm,r,1520
eartldg,t,1520
eiantlm,t,1520
eiantod,n,1519
eiartgb,r,1519
eartdcp,d,1519
eiarldc,i,1518
eirntcp,i,1518
eiantdc,a,1518
earntlu,r,1518
eiartdh,d,1518
earnodp,d,1518
eiantld,i,1517
earndum,d,1517
eiartdm,m,1517
iarntoc,i,1516
earntlh,t,1516
eiartlu,e,1515
eartdcu,t,1515
eirntld,d,1515
eirnlod,e,1514
eartdch,c,1514
eartlup,r,1512
eartldh,t,1512
earlodp,p,1512
eiantlc,i,1511
eartocb,r,1510
eiarncg,e,1509
eiarlgb,e,1509
eartdph,t,1509
eirndgp,d,1509
eiantld,l,1509
earntlp,p,1509
earndcg,a,1508
eartcmh,a,1508
erntodc,d,1508
eiarlmb,e,1507
eiartcu,r,1507
eiartom,t,1507
eiarngu,g,1507
eianldc,e,1505
eiarnld,i,1505
eirntlo,r,1505
earndmp,a,1504
eirndcg,r,1504
erntodc,t,1504
eiarlcp,r,1503
iantlgm,i,1502
eirndgh,i,1502
eartlcm,r,1502
eardgum,r,1502
eartocm,t,1501
earntob,e,1500
eiardmb,r,1500
earntph,t,1500
eirntoh,e,1499
earntdc,c,1499
erntocp,e,1498
ertlodp,r,1498
eiarncg,a,1498
eirndgm,n,1497
eartump,e,1496
iarntgm,n,1496
earntph,a,1495
eianlcg,n,1495
eartodp,o,1495
eiartlu,r,1494
eartcbh,e,1493
eiartcp,p,1492
iantlog,g,1492
ianlocg,i,1491
eirntdu,i,1491
earnodg,a,1491
eantldm,a,1491
eiartmh,r,1491
eiantgm,i,1490
earntlh,a,1490
eianlgp,n,1490
eiatldp,l,1490
earntmh,e,1489
earnldm,d,1489
eiartdb,i,1488
eartodb,t,1488
eiantoc,t,1488
eiartoc,e,1487
eiatldc,e,1487
earndmb,a,1487
eardgmp,r,1487
erntodu,t,1487
eianlcg,l,1487
eirntoh,t,1487
iarntog,o,1486
eintldg,e,1485
eiardcp,a,1485
eiartgb,e,1484
eantldc,a,1484
eirntgh,r,1484
eirntdb,i,1483
iantlog,a,1482
iarntlg,a,1482
earldcm,a,1481
eiartlh,a,1481
eintodc,n,1481
iantlgm,n,1481
eartdcb,t,1481
eiarngu,r,1481
eiantlp,t,1481
earldcu,e,1480
eirnlog,i,1480
eartump,r,1480
eiantgm,t,1480
earntld,n,1479
eianldp,e,1477
eianlgm,l,1477
eianldb,e,1476
earnodb,d,1476
eiantgp,n,1475
eiarnth,a,1474
eiarnlc,a,1474
eartodm,d,1474
eirntgb,n,1473
eiardcp,d,1473
earntoh,t,1473
iantloc,l,1472
eartgmp,r,1471
eartodu,t,1471
eiarntb,n,1471
earldum,e,1470
eiartod,a,1470
iantlcg,n,1468
eartlcu,a,1467
eiarntu,a,1467
eartcph,t,1467
erntodp,o,1467
eianldg,d,1467
earldcg,a,1466
eartdgp,d,1466
eiantdm,d,1466
earntum,t,1465
eiartlg,l,1465
earlodb,b,1465
iarntgm,a,1464
eiarlmp,e,1462
eartldm,d,1462
eartlog,a,1461
eirntgb,r,1461
eiantdp,n,1461
earntgp,t,1461
eiarlpb,e,1460
eiartup,r,1460
earndgp,d,1460
eirntgh,t,1460
eiarngu,n,1460
eiartlm,m,1460
eiarncg,i,1459
eartlmb,r,1459
eiarlcp,a,1459
eiarnlc,e,1458
eiarnod,e,1458
eianlcg,i,1458
erntodu,d,1458
eartcmh,r,1457
earldpb,d,1457
eianldc,a,1456
earodgb,r,1456
earnldb,d,1456
eirtocp,e,1455
eirtldp,r,1455
eiardch,r,1455
eartcbh,a,1454
eiardgb,d,1454
eiantdm,i,1453
earntcg,t,1453
earntdh,d,1453
eiantdc,d,1453
eiarldu,e,1452
earndcm,a,1452
earntou,r,1452
eirntoh,r,1452
eartdup,d,1452
eirtdcp,i,1451
eiartup,e,1450
earntmb,a,1450
eianlcg,a,1450
eartomb,r,1450
eartoph,e,1449
eiarngb,a,1449
eartlub,r,1449
eiartcb,t,1449
eirntou,t,1449
earnlod,d,1449
eiarndc,i,1448
iarntoc,c,1448
earntcu,a,1446
eantodc,n,1446
eiantom,n,1446
eartdgu,a,1445
earnodm,a,1444
eirtldb,i,1444
eiarnod,d,1444
earldgu,r,1443
earndgh,r,1441
earldpb,l,1441
eiantod,e,1440
earntcb,t,1440
eiarldm,i,1439
eartlph,r,1438
eiardgm,d,1438
eiantod,t,1438
iarntgm,i,1437
eiarntb,i,1437
earldup,a,1437
earntph,r,1437
eiarodc,e,1436
iantlcg,a,1436
eirnlog,g,1436
eirnogp,r,1435
earodmp,r,1435
eirntou,r,1435
earntom,n,1435
eirntcp,t,1435
earndgu,a,1434
eirtodc,t,1434
eartlpb,t,1434
eiantdm,m,1434
earntlp,l,1433
eirlodb,d,1433
earldup,r,1432
eirtomp,r,1432
eartocm,a,1431
eartcmp,a,1431
earodgp,r,1431
eartoph,t,1431
eartopb,e,1430
eirtldp,i,1430
earnldp,r,1430
eirtodp,t,1430
eiarlod,r,1430
earntop,p,1430
eiardcm,a,1428
eiardcg,r,1428
ernodcu,d,1428
eiarncg,g,1428
eiantdg,i,1427
earntum,r,1427
earodmb,r,1427
eirntcg,t,1427
earntub,e,1425
eianlgb,i,1425
erntodc,n,1425
earnodb,r,1425
eiatldb,l,1424
eiartlu,t,1424
eirntop,p,1424
eiarlgp,e,1423
eirodcp,r,1422
eartodc,o,1422
earnodg,g,1422
eianlgp,i,1420
earlodg,r,1420
eartlcu,t,1420
earldgb,l,1419
earlodp,l,1418
earldmb,d,1417
eartlcg,r,1416
earntog,n,1416
earnldc,d,1416
eiartgm,a,1415
eiarnld,l,1415
eirtodp,d,1415
earndgh,a,1414
eirntup,r,1414
eirlodp,d,1414
eirntmp,i,1413
eiarndm,m,1413
eartdcm,t,1412
earldgp,d,1412
eiartlo,a,1411
earldmb,r,1411
earodgm,r,1411
eiantlo,n,1411
eirndcg,d,1411
eirntmp,t,1411
eartoch,a,1410
ertodmp,r,1410
eirlodp,r,1410
eirtlop,r,1410
eardgmb,r,1409
eirnlog,n,1409
eiarlgm,e,1408
eiartcg,e,1408
